pi@raspberrypi:~/Documents/AES-21/Project3/rpi-mmal/build $ perf record ./istool1
Running...
 camera video buffer_size = 1382400
 camera video buffer_num = 2
 preview buffer_size = 1382400
 preview buffer_num = 4
  198 Frame processing times:  Cur. 4.318796 ms  |  Avg. 3.994949 ms  |  matches:  1600
  199 Frame processing times:  Cur. 4.387740 ms  |  Avg. 3.994975 ms  |  matches:  1600
  200 Frame processing times:  Cur. 4.377001 ms  |  Avg. 3.995000 ms  |  matches:  1600
  201 Frame processing times:  Cur. 4.418869 ms  |  Avg. 3.995025 ms  |  matches:  1600
  202 Frame processing times:  Cur. 4.400278 ms  |  Avg. 3.995050 ms  |  matches:  1600
  203 Frame processing times:  Cur. 4.369073 ms  |  Avg. 3.995074 ms  |  matches:  1600
  204 Frame processing times:  Cur. 4.372333 ms  |  Avg. 3.995098 ms  |  matches:  1600
  205 Frame processing times:  Cur. 4.411093 ms  |  Avg. 3.995122 ms  |  matches:  1600
  206 Frame processing times:  Cur. 4.399575 ms  |  Avg. 3.995146 ms  |  matches:  1600
  207 Frame processing times:  Cur. 4.406926 ms  |  Avg. 3.995169 ms  |  matches:  1600
  208 Frame processing times:  Cur. 4.396352 ms  |  Avg. 3.995192 ms  |  matches:  1600
  209 Frame processing times:  Cur. 4.424833 ms  |  Avg. 3.995215 ms  |  matches:  1600
  210 Frame processing times:  Cur. 4.371648 ms  |  Avg. 3.995238 ms  |  matches:  1600
  211 Frame processing times:  Cur. 4.436445 ms  |  Avg. 3.995261 ms  |  matches:  1600
  212 Frame processing times:  Cur. 4.385981 ms  |  Avg. 3.995283 ms  |  matches:  1600
  213 Frame processing times:  Cur. 4.381185 ms  |  Avg. 3.995305 ms  |  matches:  1600
  214 Frame processing times:  Cur. 4.353167 ms  |  Avg. 3.995327 ms  |  matches:  1600
  215 Frame processing times:  Cur. 4.347056 ms  |  Avg. 3.995349 ms  |  matches:  1600
  216 Frame processing times:  Cur. 4.358666 ms  |  Avg. 3.995370 ms  |  matches:  1600
  217 Frame processing times:  Cur. 4.381982 ms  |  Avg. 3.995392 ms  |  matches:  1600
  218 Frame processing times:  Cur. 4.387871 ms  |  Avg. 3.995413 ms  |  matches:  1600
  219 Frame processing times:  Cur. 4.333592 ms  |  Avg. 3.995434 ms  |  matches:  1600
  220 Frame processing times:  Cur. 4.357555 ms  |  Avg. 3.995455 ms  |  matches:  1600
  221 Frame processing times:  Cur. 4.409611 ms  |  Avg. 3.995475 ms  |  matches:  1600
  222 Frame processing times:  Cur. 4.385001 ms  |  Avg. 3.995495 ms  |  matches:  1600
  223 Frame processing times:  Cur. 4.411481 ms  |  Avg. 3.995516 ms  |  matches:  1600
  224 Frame processing times:  Cur. 4.408814 ms  |  Avg. 3.995536 ms  |  matches:  1600
  225 Frame processing times:  Cur. 4.371184 ms  |  Avg. 3.995556 ms  |  matches:  1600
  226 Frame processing times:  Cur. 4.441111 ms  |  Avg. 3.995575 ms  |  matches:  1600
  227 Frame processing times:  Cur. 4.430038 ms  |  Avg. 3.995595 ms  |  matches:  1600
  228 Frame processing times:  Cur. 4.380333 ms  |  Avg. 3.995614 ms  |  matches:  1600
  229 Frame processing times:  Cur. 4.403926 ms  |  Avg. 3.995633 ms  |  matches:  1600
  230 Frame processing times:  Cur. 4.402721 ms  |  Avg. 3.995652 ms  |  matches:  1600
  231 Frame processing times:  Cur. 4.403870 ms  |  Avg. 3.995671 ms  |  matches:  1600
  232 Frame processing times:  Cur. 4.290796 ms  |  Avg. 3.995690 ms  |  matches:  1600
  233 Frame processing times:  Cur. 4.446223 ms  |  Avg. 3.995708 ms  |  matches:  1600
  234 Frame processing times:  Cur. 4.377426 ms  |  Avg. 3.995726 ms  |  matches:  1600
  235 Frame processing times:  Cur. 4.361648 ms  |  Avg. 3.995745 ms  |  matches:  1600
  236 Frame processing times:  Cur. 4.406129 ms  |  Avg. 3.995763 ms  |  matches:  1600
  237 Frame processing times:  Cur. 4.376351 ms  |  Avg. 3.995781 ms  |  matches:  1600
  238 Frame processing times:  Cur. 4.395425 ms  |  Avg. 3.995798 ms  |  matches:  1600
  239 Frame processing times:  Cur. 4.414815 ms  |  Avg. 3.995816 ms  |  matches:  1600
  240 Frame processing times:  Cur. 4.377908 ms  |  Avg. 3.995833 ms  |  matches:  1600
  241 Frame processing times:  Cur. 4.428426 ms  |  Avg. 3.995851 ms  |  matches:  1600
  242 Frame processing times:  Cur. 4.428518 ms  |  Avg. 3.995868 ms  |  matches:  1600
  243 Frame processing times:  Cur. 4.397519 ms  |  Avg. 3.995885 ms  |  matches:  1600
  244 Frame processing times:  Cur. 4.392260 ms  |  Avg. 3.995902 ms  |  matches:  1600
  245 Frame processing times:  Cur. 4.465037 ms  |  Avg. 3.995918 ms  |  matches:  1600
  246 Frame processing times:  Cur. 4.418259 ms  |  Avg. 3.995935 ms  |  matches:  1600
  247 Frame processing times:  Cur. 4.378797 ms  |  Avg. 3.995951 ms  |  matches:  1600
  248 Frame processing times:  Cur. 4.400333 ms  |  Avg. 3.995968 ms  |  matches:  1600
  249 Frame processing times:  Cur. 4.385611 ms  |  Avg. 3.995984 ms  |  matches:  1600
  250 Frame processing times:  Cur. 4.409945 ms  |  Avg. 3.996000 ms  |  matches:  1600
  251 Frame processing times:  Cur. 4.405130 ms  |  Avg. 3.996016 ms  |  matches:  1600
  252 Frame processing times:  Cur. 4.370038 ms  |  Avg. 3.996032 ms  |  matches:  1600
  253 Frame processing times:  Cur. 4.402889 ms  |  Avg. 3.996047 ms  |  matches:  1600
  254 Frame processing times:  Cur. 4.415240 ms  |  Avg. 3.996063 ms  |  matches:  1600
  255 Frame processing times:  Cur. 4.380240 ms  |  Avg. 3.996078 ms  |  matches:  1600
  256 Frame processing times:  Cur. 4.453315 ms  |  Avg. 3.996094 ms  |  matches:  1600
  257 Frame processing times:  Cur. 4.429501 ms  |  Avg. 3.996109 ms  |  matches:  1600
  258 Frame processing times:  Cur. 4.414129 ms  |  Avg. 3.996124 ms  |  matches:  1600
  259 Frame processing times:  Cur. 4.378888 ms  |  Avg. 3.996139 ms  |  matches:  1600
  260 Frame processing times:  Cur. 4.404537 ms  |  Avg. 3.996154 ms  |  matches:  1600
  261 Frame processing times:  Cur. 4.514000 ms  |  Avg. 3.996169 ms  |  matches:  1600
  262 Frame processing times:  Cur. 4.389926 ms  |  Avg. 3.996183 ms  |  matches:  1600
  263 Frame processing times:  Cur. 4.396167 ms  |  Avg. 3.996198 ms  |  matches:  1600
  264 Frame processing times:  Cur. 4.393204 ms  |  Avg. 3.996212 ms  |  matches:  1600
  265 Frame processing times:  Cur. 4.382222 ms  |  Avg. 3.996226 ms  |  matches:  1600
  266 Frame processing times:  Cur. 4.404297 ms  |  Avg. 3.996241 ms  |  matches:  1600
  267 Frame processing times:  Cur. 4.393278 ms  |  Avg. 3.996255 ms  |  matches:  1600
  268 Frame processing times:  Cur. 4.392610 ms  |  Avg. 3.996269 ms  |  matches:  1600
  269 Frame processing times:  Cur. 4.414093 ms  |  Avg. 3.996283 ms  |  matches:  1600
  270 Frame processing times:  Cur. 4.374389 ms  |  Avg. 3.996296 ms  |  matches:  1600
  271 Frame processing times:  Cur. 4.436982 ms  |  Avg. 3.996310 ms  |  matches:  1600
  272 Frame processing times:  Cur. 4.360629 ms  |  Avg. 3.996324 ms  |  matches:  1600
  273 Frame processing times:  Cur. 4.387852 ms  |  Avg. 3.996337 ms  |  matches:  1600
  274 Frame processing times:  Cur. 4.375500 ms  |  Avg. 3.996350 ms  |  matches:  1600
  275 Frame processing times:  Cur. 4.418351 ms  |  Avg. 3.996364 ms  |  matches:  1600
  276 Frame processing times:  Cur. 4.403926 ms  |  Avg. 3.996377 ms  |  matches:  1600
  277 Frame processing times:  Cur. 4.342223 ms  |  Avg. 3.996390 ms  |  matches:  1600
  278 Frame processing times:  Cur. 4.407797 ms  |  Avg. 3.996403 ms  |  matches:  1600
  279 Frame processing times:  Cur. 4.397406 ms  |  Avg. 3.996416 ms  |  matches:  1600
  280 Frame processing times:  Cur. 4.393908 ms  |  Avg. 3.996429 ms  |  matches:  1600
