pi@raspberrypi:~/Documents/AES-21/Project3/rpi-mmal/build $ perf record ./istool1
Running...
 camera video buffer_size = 1382400
 camera video buffer_num = 2
 preview buffer_size = 1382400
 preview buffer_num = 4
  133 Frame processing times:  Cur. 4.453907 ms  |  Avg. 4.000000 ms  |  matches:  1600
  134 Frame processing times:  Cur. 4.504778 ms  |  Avg. 4.000000 ms  |  matches:  1600
  135 Frame processing times:  Cur. 4.486223 ms  |  Avg. 4.000000 ms  |  matches:  1600
  136 Frame processing times:  Cur. 4.475556 ms  |  Avg. 4.000000 ms  |  matches:  1600
  137 Frame processing times:  Cur. 4.516056 ms  |  Avg. 4.000000 ms  |  matches:  1600
  138 Frame processing times:  Cur. 4.510074 ms  |  Avg. 4.000000 ms  |  matches:  1600
  139 Frame processing times:  Cur. 4.474407 ms  |  Avg. 4.000000 ms  |  matches:  1600
  140 Frame processing times:  Cur. 4.505537 ms  |  Avg. 4.000000 ms  |  matches:  1600
  141 Frame processing times:  Cur. 4.478370 ms  |  Avg. 4.000000 ms  |  matches:  1600
  142 Frame processing times:  Cur. 4.477038 ms  |  Avg. 4.000000 ms  |  matches:  1600
  143 Frame processing times:  Cur. 4.506778 ms  |  Avg. 4.000000 ms  |  matches:  1600
  144 Frame processing times:  Cur. 4.487704 ms  |  Avg. 4.000000 ms  |  matches:  1600
  145 Frame processing times:  Cur. 4.464574 ms  |  Avg. 4.000000 ms  |  matches:  1600
  146 Frame processing times:  Cur. 4.499815 ms  |  Avg. 4.000000 ms  |  matches:  1600
  147 Frame processing times:  Cur. 4.497556 ms  |  Avg. 4.000000 ms  |  matches:  1600
  148 Frame processing times:  Cur. 4.495685 ms  |  Avg. 4.000000 ms  |  matches:  1600
  149 Frame processing times:  Cur. 4.520334 ms  |  Avg. 4.000000 ms  |  matches:  1600
  150 Frame processing times:  Cur. 4.480425 ms  |  Avg. 4.000000 ms  |  matches:  1600
  151 Frame processing times:  Cur. 4.462481 ms  |  Avg. 4.000000 ms  |  matches:  1600
  152 Frame processing times:  Cur. 4.493537 ms  |  Avg. 4.000000 ms  |  matches:  1600
  153 Frame processing times:  Cur. 4.505778 ms  |  Avg. 4.000000 ms  |  matches:  1600
  154 Frame processing times:  Cur. 4.500963 ms  |  Avg. 4.000000 ms  |  matches:  1600
  155 Frame processing times:  Cur. 4.500537 ms  |  Avg. 4.000000 ms  |  matches:  1600
  156 Frame processing times:  Cur. 4.451833 ms  |  Avg. 4.000000 ms  |  matches:  1600
  157 Frame processing times:  Cur. 4.482796 ms  |  Avg. 4.000000 ms  |  matches:  1600
  158 Frame processing times:  Cur. 4.513796 ms  |  Avg. 4.000000 ms  |  matches:  1600
  159 Frame processing times:  Cur. 4.507111 ms  |  Avg. 4.000000 ms  |  matches:  1600
  160 Frame processing times:  Cur. 4.506149 ms  |  Avg. 4.000000 ms  |  matches:  1600
  161 Frame processing times:  Cur. 4.527333 ms  |  Avg. 4.000000 ms  |  matches:  1600
  162 Frame processing times:  Cur. 4.495870 ms  |  Avg. 4.000000 ms  |  matches:  1600
  163 Frame processing times:  Cur. 4.468333 ms  |  Avg. 4.000000 ms  |  matches:  1600
